date	Top 10%	Top 5%	Top 1%	Top 0.5%	Top 0.1%	Top 0.01%	Bottom 90%
19190101	24.05481	38.52826	111.04611	174.84932	470.06152	1599.86435	3.65332
19200101	22.6933	36.00454	102.87602	161.81557	437.20419	1639.19764	3.84681
19210101	22.56701	35.29092	98.47887	153.38852	411.27074	1506.41131	3.80874
19220101	28.52021	44.63373	122.69227	189.9787	498.25374	1723.29898	4.45968
19230101	30.55767	47.9422	132.70195	206.10423	533.95803	1831.81466	4.40298
19240101	29.3464	44.95318	125.09748	193.73083	491.21726	1664.45747	4.47735
19250101	29.55379	45.10193	121.77676	187.73713	474.06598	1596.04479	4.16744
19260101	26.66155	41.00104	112.97175	174.1126	442.57463	1527.65971	4.08076
19270101	26.44973	39.98961	107.48206	165.40815	422.85835	1447.1624	3.90352
19280101	27.86756	41.96548	112.56815	172.63767	441.38389	1518.74999	4.14609
19290101	27.1868	40.40243	105.59922	161.95726	408.75613	1412.08842	4.24307
19300101	26.65186	39.10709	99.31923	150.3548	375.6115	1252.09595	4.24706
19310101	25.84718	37.2993	91.97686	137.60801	337.77069	1112.60465	4.11243
19320101	27.69084	39.60231	94.32128	138.88053	332.5061	1064.65521	4.00677
19330101	28.67819	40.837	95.52456	139.64017	332.41	1080.11157	3.91486
19340101	28.37731	40.31111	94.27513	137.77203	327.60835	1054.73233	3.70033
19350101	30.40978	43.19742	100.4599	146.24684	346.43354	1135.32602	3.87098
19360101	29.26485	41.91987	97.78929	142.9024	342.96193	1154.69892	4.12191
19370101	27.29457	38.44461	92.01944	135.82503	333.2232	1164.3335	4.03669
19380101	25.60274	35.8717	85.92865	126.29143	304.2128	1053.64013	3.84503
19390101	22.33135	31.78357	77.69421	116.60963	291.32805	1010.36342	4.00791
19400101	17.85894	25.43939	60.95244	90.35626	223.6572	753.50009	3.08975
19410101	19.33094	27.3493	64.36179	93.22408	213.4594	649.43952	3.40288
19420101	19.54703	27.78372	64.33193	92.15261	203.27204	591.36617	4.02691
19430101	17.69124	24.87291	55.53702	78.19679	165.17801	460.70256	4.12826
19440101	15.69625	21.53281	44.64367	61.34254	123.99514	325.39429	4.18301
19450101	20.26065	26.71289	51.41134	68.71128	133.65669	347.91451	5.32865
19460101	20.84517	28.34139	58.49809	80.52589	165.81454	456.62311	4.73052
19470101	16.8281	23.36159	46.723	63.92801	131.13008	344.66233	3.76195
19480101	18.10541	24.03003	49.00544	67.15787	136.19583	352.64342	4.20775
